Clubs (138),89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Clubs (138)
Preston North End,1. 1,1. 1,1. 2,1. 2,1. 2,1. 14,1. 4,1. 9,1. 4,1. 12,1. 15,1. 16,1. 17,2. 3,2. 7,2. 1,1. 8,1. 2,1. 14,1. 12,1. 10,1. 12,1. 14,1. 19,2. 1,1. 19,2. 2,1. 19,1. 16,1. 16,1. 16,1. 18,1. 21,2. 12,2. 6,2. 4,2. 13,2. 16,2. 7,2. 13,2. 9,2. 2,1. 11,1. 7,1. 14,1. 3,1. 9,1. 7,1. 7,1. 21,2. 6,2. 1,1. 7,1. 2,1. 11,1. 14,1. 19,1. 3,1. 2,1. 12,1. 9,1. 22,2. 10,2. 17,2. 3,2. 12,2. 17,2. 13,2. 20,2. 14,2. 22,3. 1,2. 18,2. 19,2. 21,3. 9,3. 8,3. 6,3. 3,2. 7,2. 10,2. 20,3. 14,3. 16,3. 16,3. 23,4. 23,4. 2,3. 16,3. 6,3. 19,3. 17,3. 17,3. 21,4. 5,4. 5,4. 1,3. 15,3. 15,3. 5,3. 1,2. 4,2. 8,2. 12,2. 15,2. 5,2. 4,2. 7,2. 15,2. 6,2. 17,2. 22,3. 15,3. 14,3. 5,3. 3,4. CH,Preston North End
Aston Villa,1. 2,1. 8,1. 9,1. 4,1. 4,1. 1,1. 3,1. 1,1. 1,1. 6,1. 1,1. 1,1. 15,1. 8,1. 2,1. 5,1. 4,1. 8,1. 5,1. 2,1. 7,1. 1,1. 2,1. 6,1. 2,1. 2,1. 14,1. 9,1. 10,1. 5,1. 6,1. 6,1. 15,1. 6,1. 10,1. 8,1. 3,1. 4,1. 2,1. 5,1. 2,1. 13,1. 13,1. 21,2. 9,2. 1,1. 12,1. 8,1. 6,1. 10,1. 12,1. 15,1. 6,1. 11,1. 13,1. 6,1. 20,1. 10,1. 14,1. 21,2. 1,1. 9,1. 7,1. 15,1. 19,1. 16,1. 16,1. 21,2. 10,2. 18,2. 21,3. 4,3. 1,2. 3,2. 14,2. 2,1. 16,1. 4,1. 8,1. 8,1. 7,1. 1,1. 11,1. 6,1. 10,1. 10,1. 16,1. 22,2. 2,1. 17,1. 2,1. 17,1. 7,1. 2,1. 10,1. 18,1. 4,1. 5,1. 7,1. 6,1. 6,1. 8,1. 8,1. 16,1. 6,1. 10,1. 16,1. 11,1. 6,1. 6,1. 6,1. 9,1. 16,1. 15,1. 15,1. 17,4. PL,Aston Villa
Wolverhampton Wanderers,1. 3,1. 4,1. 4,1. 6,1. 11,1. 9,1. 11,1. 14,1. 10,1. 3,1. 8,1. 4,1. 13,1. 14,1. 11,1. 8,1. 14,1. 20,2. 6,2. 9,2. 7,2. 8,2. 9,2. 5,2. 10,2. 9,2. 4,2. 19,2. 15,2. 17,2. 22,3. 1,2. 6,2. 4,2. 15,2. 16,2. 17,2. 9,2. 4,2. 1,1. 20,1. 15,1. 17,1. 15,1. 5,1. 2,1. 2,1. 3,1. 5,1. 6,1. 2,1. 14,1. 16,1. 3,1. 1,1. 2,1. 3,1. 6,1. 1,1. 1,1. 2,1. 3,1. 18,1. 5,1. 16,1. 21,2. 6,2. 2,1. 17,1. 16,1. 13,1. 4,1. 9,1. 5,1. 12,1. 12,1. 20,2. 1,1. 15,1. 18,1. 6,1. 18,1. 21,2. 2,1. 22,2. 22,3. 23,4. 4,4. 1,3. 1,2. 10,2. 12,2. 11,2. 11,2. 8,2. 4,2. 20,2. 3,2. 9,2. 7,2. 7,2. 12,2. 3,2. 5,1. 20,2. 9,2. 7,2. 5,2. 7,2. 1,1. 15,1. 17,1. 20,2. 23,3. 1,2. 7,4. CH,Wolverhampton Wanderers
Blackburn Rovers,1. 4,1. 3,1. 6,1. 9,1. 9,1. 4,1. 5,1. 8,1. 14,1. 15,1. 6,1. 14,1. 9,1. 4,1. 16,1. 15,1. 13,1. 9,1. 12,1. 14,1. 4,1. 3,1. 12,1. 1,1. 5,1. 1,1. 3,1. 20,1. 11,1. 15,1. 14,1. 8,1. 16,1. 12,1. 18,1. 12,1. 7,1. 6,1. 10,1. 16,1. 15,1. 8,1. 15,1. 22,2. 12,2. 16,2. 1,1. 17,1. 21,2. 14,2. 16,2. 6,2. 14,2. 9,2. 3,2. 6,2. 4,2. 4,2. 2,1. 10,1. 17,1. 8,1. 16,1. 11,1. 7,1. 10,1. 22,2. 4,2. 8,2. 19,2. 8,2. 21,3. 10,3. 3,3. 13,3. 1,2. 15,2. 12,2. 5,2. 22,3. 2,2. 4,2. 10,2. 11,2. 6,2. 5,2. 19,2. 12,2. 5,2. 5,2. 5,2. 19,2. 6,1. 4,1. 2,1. 1,1. 7,1. 13,1. 6,1. 19,2. 11,2. 2,1. 10,1. 6,1. 15,1. 15,1. 6,1. 10,1. 7,1. 15,1. 10,1. 15,1. 19,2. 17,2. 8,2. 9,4. CH,Blackburn Rovers
Bolton Wanderers,1. 5,1. 9,1. 5,1. 3,1. 5,1. 13,1. 10,1. 4,1. 8,1. 11,1. 17,2. 2,1. 10,1. 12,1. 18,2. 7,2. 2,1. 6,1. 6,1. 19,2. 1,1. 20,2. 2,1. 4,1. 8,1. 6,1. 17,1. 6,1. 3,1. 6,1. 13,1. 4,1. 3,1. 8,1. 4,1. 7,1. 14,1. 15,1. 14,1. 17,1. 21,2. 3,2. 2,1. 13,1. 20,1. 7,1. 8,1. 18,1. 17,1. 14,1. 16,1. 8,1. 5,1. 14,1. 5,1. 18,1. 8,1. 9,1. 15,1. 4,1. 6,1. 18,1. 11,1. 18,1. 21,2. 3,2. 9,2. 9,2. 12,2. 17,2. 16,2. 22,3. 7,3. 1,2. 11,2. 10,2. 4,2. 4,2. 1,1. 17,1. 22,2. 18,2. 19,2. 22,3. 10,3. 17,3. 18,3. 21,4. 3,3. 10,3. 6,3. 4,3. 13,3. 2,2. 14,2. 3,1. 20,2. 1,1. 18,2. 6,2. 6,2. 3,1. 16,1. 17,1. 8,1. 6,1. 8,1. 7,1. 16,1. 13,1. 14,1. 14,1. 18,2. 7,2. 14,2. 18,4. CH,Bolton Wanderers
West Bromwich Albion,1. 6,1. 5,1. 12,1. 12,1. 8,1. 8,1. 13,1. 16,1. 12,1. 7,1. 14,1. 13,1. 18,2. 1,1. 7,1. 18,2. 10,2. 4,2. 4,2. 5,2. 3,2. 11,2. 1,1. 9,1. 10,1. 5,1. 10,1. 1,1. 14,1. 13,1. 7,1. 16,1. 2,1. 13,1. 22,2. 8,2. 7,2. 6,2. 2,1. 6,1. 4,1. 7,1. 9,1. 18,1. 16,1. 22,2. 10,2. 7,2. 7,2. 2,1. 14,1. 16,1. 13,1. 4,1. 2,1. 17,1. 13,1. 11,1. 4,1. 5,1. 4,1. 10,1. 9,1. 14,1. 10,1. 14,1. 6,1. 13,1. 8,1. 10,1. 16,1. 17,1. 16,1. 22,2. 8,2. 6,2. 3,1. 7,1. 6,1. 3,1. 10,1. 4,1. 17,1. 11,1. 17,1. 12,1. 22,2. 15,2. 20,2. 9,2. 20,2. 23,3. 7,3. 4,2. 21,2. 19,2. 11,2. 16,2. 10,2. 12,2. 21,2. 6,2. 2,1. 19,2. 2,1. 17,1. 19,2. 4,2. 1,1. 20,2. 2,1. 11,1. 10,1. 8,1. 17,1. 13,4. PL,West Bromwich Albion
Accrington,1. 7,1. 6,1. 10,1. 11,1. 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accrington
Everton,1. 8,1. 2,1. 1,1. 5,1. 3,1. 6,1. 2,1. 3,1. 7,1. 4,1. 4,1. 11,1. 7,1. 2,1. 12,1. 3,1. 2,1. 11,1. 3,1. 11,1. 2,1. 10,1. 4,1. 2,1. 11,1. 15,1. 1,1. 16,1. 7,1. 20,1. 5,1. 7,1. 17,1. 11,1. 20,1. 1,1. 18,1. 22,2. 1,1. 1,1. 11,1. 14,1. 8,1. 16,1. 17,1. 14,1. 1,1. 10,1. 14,1. 18,1. 18,1. 22,2. 7,2. 16,2. 2,1. 11,1. 15,1. 15,1. 16,1. 16,1. 15,1. 5,1. 4,1. 1,1. 3,1. 4,1. 11,1. 6,1. 5,1. 3,1. 1,1. 14,1. 15,1. 17,1. 7,1. 4,1. 11,1. 9,1. 3,1. 4,1. 19,1. 15,1. 8,1. 7,1. 7,1. 1,1. 2,1. 1,1. 4,1. 8,1. 6,1. 9,1. 12,1. 13,1. 17,1. 15,1. 6,1. 15,1. 17,1. 14,1. 13,1. 16,1. 15,1. 7,1. 17,1. 4,1. 11,1. 6,1. 5,1. 5,1. 8,1. 7,1. 7,1. 6,1. 5,1. 11,4. PL,Everton
Burnley,1. 9,1. 11,1. 8,1. 7,1. 6,1. 5,1. 9,1. 10,1. 16,2. 1,1. 3,1. 17,2. 3,2. 9,2. 18,2. 5,2. 11,2. 9,2. 7,2. 7,2. 14,2. 14,2. 8,2. 3,2. 2,1. 12,1. 4,1. 2,1. 1,1. 3,1. 15,1. 17,1. 19,1. 20,1. 5,1. 19,1. 19,1. 21,2. 8,2. 19,2. 19,2. 13,2. 12,2. 15,2. 13,2. 6,2. 14,2. 2,1. 3,1. 15,1. 10,1. 10,1. 14,1. 6,1. 7,1. 10,1. 7,1. 7,1. 6,1. 7,1. 1,1. 4,1. 2,1. 3,1. 9,1. 12,1. 3,1. 14,1. 14,1. 14,1. 14,1. 21,2. 7,2. 1,1. 6,1. 10,1. 21,2. 16,2. 11,2. 13,2. 21,3. 8,3. 1,2. 21,3. 12,3. 21,4. 14,4. 22,4. 10,4. 16,4. 16,4. 6,4. 1,3. 13,3. 6,2. 22,3. 17,3. 9,3. 20,3. 15,3. 2,2. 7,2. 7,2. 16,2. 19,2. 13,2. 17,2. 15,2. 13,2. 5,1. 18,2. 8,2. 13,2. 11,2. 2,1. 19,4. CH,Burnley
